,Unnamed: 0,Representation,AUROC: OUTC,MCC: OUTC,Bal.Acc: OUTC,p-v: OUTC,Corr: OUTC,"CM[0,0]: OUTC","CM[0,1]: OUTC","CM[1,0]: OUTC","CM[1,1]: OUTC",Representation.1,AUROC: RT_P,MCC: RT_P,Bal.Acc: RT_P,p-v: RT_P,Corr: RT_P,"CM[0,0]: RT_P","CM[0,1]: RT_P","CM[1,0]: RT_P","CM[1,1]: RT_P",Representation.2,AUROC: Dece,MCC: Dece,Bal.Acc: Dece,p-v: Dece,Corr: Dece,"CM[0,0]: Dece","CM[0,1]: Dece","CM[1,0]: Dece","CM[1,1]: Dece"
2,2.0,3.0,0.6445829338446789,0.30315712368418396,0.6599232981783317,4.909631178212432e-06,0.30315712368418396,44.0,26.0,46.0,103.0,3.0,0.5833333333333334,0.10374790352046764,0.6127450980392157,0.1285024814641129,0.10374790352046764,114.0,90.0,4.0,8.0,3.0,0.6299043062200956,0.2447244302590248,0.5503588516746412,0.00013248764573419778,0.2447244302590249,219.0,1.0,17.0,2.0
2,2.0,3.0,0.671620325982742,0.3022266322792306,0.6607861936720998,5.266163616230162e-06,0.3022266322792306,46.0,24.0,50.0,99.0,3.0,0.613766339869281,0.12052460206385372,0.6299019607843137,0.07714233022106126,0.12052460206385372,121.0,83.0,4.0,8.0,3.0,0.6446172248803828,0.3125902046136936,0.5526315789473684,8.16743702580143e-07,0.3125902046136937,220.0,0.0,17.0,2.0
2,2.0,3.0,0.651150527325024,0.30211792469089904,0.6612176414189836,5.309387303884405e-06,0.30211792469089904,47.0,23.0,52.0,97.0,3.0,0.5984477124183006,0.11565161063847322,0.625,0.08996998452820515,0.11565161063847322,119.0,85.0,4.0,8.0,3.0,0.631578947368421,0.2447244302590248,0.5503588516746412,0.00013248764573419778,0.2447244302590249,219.0,1.0,17.0,2.0
2,2.0,3.0,0.6650527325023969,0.3350182240747641,0.6784276126558006,3.83598477661543e-07,0.3350182240747641,48.0,22.0,49.0,100.0,3.0,0.6325571895424837,0.11807939700904628,0.6274509803921569,0.0833807829780947,0.11807939700904628,120.0,84.0,4.0,8.0,3.0,0.6057416267942584,0.2447244302590248,0.5503588516746412,0.00013248764573419778,0.2447244302590249,219.0,1.0,17.0,2.0
3,3.0,4.0,0.5629699248120301,0.1777752913126799,0.5917919799498748,0.08149251652803588,0.1777752913126799,8.0,13.0,15.0,61.0,4.0,0.7282608695652175,0.4755440747309677,0.7782608695652173,8.550058090758294e-07,0.4755440747309677,88.0,4.0,2.0,3.0,4.0,0.4662642045454545,0.053300179088902604,0.5142045454545454,0.5910120839424675,0.053300179088902604,85.0,3.0,15.0,1.0
3,3.0,4.0,0.5209899749373433,0.11892135528083707,0.5614035087719298,0.24597619397490406,0.11892135528083705,7.0,14.0,16.0,60.0,4.0,0.7402173913043479,0.5782608695652174,0.7891304347826087,5.551176296792457e-10,0.5782608695652173,90.0,2.0,2.0,3.0,4.0,0.4698153409090909,0.053300179088902604,0.5142045454545454,0.5910120839424675,0.053300179088902604,85.0,3.0,15.0,1.0
3,3.0,4.0,0.5639097744360902,0.14912280701754385,0.5745614035087719,0.14489168659709387,0.14912280701754385,7.0,14.0,14.0,62.0,4.0,0.8271739130434783,0.5782608695652174,0.7891304347826087,5.551176296792457e-10,0.5782608695652173,90.0,2.0,2.0,3.0,4.0,0.5159801136363636,0.053300179088902604,0.5142045454545454,0.5910120839424675,0.053300179088902604,85.0,3.0,15.0,1.0
3,3.0,4.0,0.5585839598997494,0.15272024792571778,0.5704887218045113,0.1353334577799473,0.15272024792571778,6.0,15.0,11.0,65.0,4.0,0.7380434782608695,0.5207931581893314,0.783695652173913,4.540856189448008e-08,0.5207931581893314,89.0,3.0,2.0,3.0,4.0,0.6807528409090909,0.205038606252941,0.6420454545454546,0.03680165539264582,0.20503860625294104,47.0,41.0,4.0,12.0
3,3.0,4.0,0.5654761904761905,0.2098997493734336,0.6049498746867168,0.039063146203586266,0.2098997493734336,8.0,13.0,13.0,63.0,4.0,0.7304347826086957,0.5207931581893314,0.783695652173913,4.540856189448008e-08,0.5207931581893314,89.0,3.0,2.0,3.0,4.0,0.40802556818181823,0.19188064472004934,0.5511363636363636,0.051017991827587865,0.19188064472004934,86.0,2.0,14.0,2.0
4,4.0,5.0,0.7374293785310734,0.4563658126720965,0.7216101694915253,1.3593428270137546e-10,0.4563658126720964,35.0,24.0,18.0,102.0,5.0,0.5462184873949579,0.371466032076976,0.5714285714285714,3.5740614684145044e-07,0.371466032076976,170.0,0.0,6.0,1.0,5.0,0.7489130434782608,0.28426845075012913,0.7157608695652173,4.719427151631613e-05,0.2842684507501292,153.0,31.0,6.0,9.0
