,Classifier OUTC,MCC: OUTC,Corr: OUTC,p-v: OUTC,Index: OUTC,Classifier RT_P,MCC: RT_P,Corr: RT_P,p-v: RT_P,Index: RT_P,Classifier Dece,MCC: Dece,Corr: Dece,p-v: Dece,Index: Dece,Representation
9,Ridge_01,-0.05364969220493451,-0.05364969220493451,0.6017298844919783,127.0,Gaussian Process_01,0.3673913043478261,0.367391304347826,0.00021406413512567305,38.0,Naive Bayes_01,-0.08528028654224416,-0.08528028654224416,0.3893757970911538,113.0,4
10,Neural Net_04,-0.109016283576765,-0.10901628357676503,0.2878097228850833,74.0,Decision Tree_02,0.3673913043478261,0.367391304347826,0.00021406413512567305,44.0,Gaussian Process_01,-0.09582659576267816,-0.09582659576267816,0.33321354691860283,38.0,4
11,Gaussian Process_01,-0.13497638119975428,-0.13497638119975425,0.18744643646131506,38.0,Logistic_04,0.3673913043478261,0.367391304347826,0.00021406413512567305,121.0,Decision Tree_02,-0.09582659576267816,-0.09582659576267816,0.33321354691860283,44.0,4
12,Bagging_03,-0.13497638119975428,-0.13497638119975425,0.18744643646131506,135.0,Ridge_01,0.3673913043478261,0.367391304347826,0.00021406413512567305,127.0,Bagging_03,-0.12309149097933272,-0.12309149097933275,0.2131831404451324,135.0,4
13,Decision Tree_07,-0.17821457732656956,-0.17821457732656956,0.08073001595235645,49.0,QDA_01,0.2276723982774452,0.2276723982774452,0.024910637482442502,117.0,QDA_01,-0.1539981007018036,-0.1539981007018036,0.11856536349964393,117.0,4
0,Neural Net_19,0.5170427043758515,0.5170427043758515,1.2636507977613526e-13,89.0,Neural Net_10,0.371466032076976,0.371466032076976,3.5740614684145044e-07,80.0,Neural Net_08,0.3528947250544207,0.3528947250544208,3.183158068964744e-07,78.0,5
1,Nearest Neighbors_01,0.4861282157816338,0.4861282157816338,5.256527436581986e-12,0.0,SVM_07,0.2525690330317211,0.2525690330317211,0.0006949570595536586,14.0,AdaBoost_12,0.3190289502368048,0.3190289502368048,4.3757095667501e-06,106.0,5
2,SVM_26,0.4453907298999519,0.4453907298999519,4.176815860620648e-10,33.0,Bagging_02,0.2525690330317211,0.2525690330317211,0.0006949570595536586,134.0,Naive Bayes_01,0.3042628039802475,0.3042628039802476,1.2472878150648015e-05,113.0,5
3,Random_Forest_13,0.4124588320962917,0.4124588320962917,9.628954400419816e-09,63.0,AdaBoost_01,0.1979319330739661,0.1979319330739661,0.008270200799092428,95.0,Ridge_02,0.27709679417703903,0.27709679417703903,7.427072019726385e-05,128.0,5
4,Gaussian Process_01,0.4043011342346808,0.4043011342346808,1.9911038545413297e-08,38.0,Gaussian Process_01,0.1641949290975261,0.1641949290975261,0.02897418689594218,38.0,Gradient_46,0.2641189432651838,0.26411894326518376,0.00016354696001369832,182.0,5
